Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-10-24 07:34:05,false,"Athens Running","13.25","1,508","01:24:42","175","185","5.0","161","178","6:24","4:36","522","663","1.56","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","01:44.91","14","0.0","--","--","--","--","--","--","--","01:24:34","01:24:42","600","797"
Running,2021-10-23 07:57:47,false,"Athens Running","4.13","527","00:37:12","149","168","2.7","147","178","9:01","5:34","255","206","1.21","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","01:10.05","5","0.0","--","--","--","--","--","--","--","00:37:10","00:37:22","636","741"
Running,2021-10-21 17:26:58,false,"Athens Running","5.00","630","00:42:38","154","169","3.1","148","167","8:32","7:42","285","255","1.28","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:00.80","6","0.0","--","--","--","--","--","--","--","00:42:31","00:44:01","633","741"
Running,2021-10-20 06:36:27,false,"Athens Running","6.11","789","00:57:49","151","177","3.0","145","174","9:28","5:16","381","341","1.17","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","01:04.56","7","0.0","--","--","--","--","--","--","--","00:57:47","00:57:55","635","741"
Running,2021-10-19 06:25:50,false,"Athens Running","8.01","940","00:53:58","173","186","4.4","162","178","6:44","5:42","473","379","1.47","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:04.74","9","0.0","--","--","--","--","--","--","--","00:53:54","00:54:19","633","741"
Running,2021-10-17 07:45:10,false,"Athens Running","12.01","1,478","01:30:29","168","185","4.6","152","188","7:32","5:24","549","553","1.40","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:02.24","13","0.0","--","--","--","--","--","--","--","01:29:56","01:32:32","600","784"
Running,2021-10-16 07:17:37,false,"Athens Running","5.02","680","00:50:44","151","176","2.7","142","157","10:06","8:44","320","270","1.12","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:13.72","6","0.0","--","--","--","--","--","--","--","00:50:36","00:51:01","632","741"
Indoor Cycling,2021-10-15 06:30:57,false,"Indoor Cycling","0.00","211","00:30:01","107","121","0.5","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","30:01.06","1","0.0","--","--","--","--","--","--","--","00:00:00","00:30:01","--","--"
Running,2021-10-14 05:51:43,false,"Athens Running","12.01","1,490","01:33:31","165","178","4.3","152","162","7:47","6:45","617","544","1.36","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:03.72","13","0.0","--","--","--","--","--","--","--","01:33:27","01:33:59","632","755"
Running,2021-10-13 06:32:09,false,"Athens Running","10.01","1,134","01:09:59","162","190","4.0","157","179","6:59","5:24","399","390","1.46","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:12.32","17","0.0","--","--","--","--","--","--","--","01:09:48","01:22:02","640","781"
Running,2021-10-12 06:35:00,false,"Athens Running","5.01","645","00:50:56","141","172","2.5","143","164","10:10","7:22","294","254","1.10","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:04.12","6","0.0","--","--","--","--","--","--","--","00:50:51","00:51:17","633","741"
Running,2021-10-10 07:05:34,false,"Athens Running","20.01","2,379","02:31:33","165","177","5.0","152","186","7:34","5:38","1,015","1,028","1.40","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:04.45","21","0.0","--","--","--","--","--","--","--","02:30:51","02:40:50","602","784"
Running,2021-10-09 07:18:09,false,"Athens Running","5.01","653","00:49:06","147","164","2.6","144","160","9:48","8:20","298","240","1.14","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:06.93","6","0.0","--","--","--","--","--","--","--","00:49:05","00:49:06","635","741"
Running,2021-10-08 07:04:30,false,"Athens Running","5.01","591","00:34:24","172","182","3.8","157","171","6:52","6:07","303","286","1.49","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:02.94","6","0.0","--","--","--","--","--","--","--","00:34:20","00:34:34","637","741"
Running,2021-10-07 17:41:50,false,"Athens Running","3.21","395","00:31:32","136","158","2.2","143","154","9:50","8:39","123","69","1.14","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","02:01.63","4","0.0","--","--","--","--","--","--","--","00:31:31","00:31:32","634","741"
Running,2021-10-06 05:48:46,false,"Athens Running","12.01","1,455","01:35:16","159","173","4.0","150","162","7:56","6:46","639","586","1.35","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:02.93","13","0.0","--","--","--","--","--","--","--","01:34:50","01:36:40","635","757"
Running,2021-10-05 17:05:21,false,"Athens Running","4.45","545","00:42:43","141","154","2.4","143","160","9:36","8:03","229","174","1.17","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","04:22.46","5","0.0","--","--","--","--","--","--","--","00:42:42","00:42:47","637","741"
Indoor Cycling,2021-10-05 06:30:36,false,"Indoor Cycling","0.00","350","00:40:39","118","136","1.1","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","40:39.23","1","0.0","--","--","--","--","--","--","--","00:00:00","00:40:39","--","--"
Running,2021-10-03 07:41:38,false,"Athens Running","18.00","2,194","02:24:26","162","177","5.0","148","184","8:01","6:03","1,043","1,000","1.36","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:01.79","19","0.0","--","--","--","--","--","--","--","02:23:46","02:31:15","581","781"
Running,2021-10-02 07:53:14,false,"Athens Running","3.50","436","00:35:11","137","155","2.2","144","155","10:03","8:36","129","64","1.11","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","04:55.76","4","0.0","--","--","--","--","--","--","--","00:35:10","00:35:11","634","741"
Running,2021-10-01 05:30:33,false,"Athens Running","11.03","1,341","01:27:05","159","175","4.1","147","158","7:54","6:56","580","524","1.39","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:17.18","12","0.0","--","--","--","--","--","--","--","01:26:52","01:27:45","634","756"
Running,2021-09-30 06:26:54,false,"Athens Running","5.00","647","00:50:29","143","167","2.5","144","158","10:05","8:56","307","281","1.11","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:02.75","6","0.0","--","--","--","--","--","--","--","00:50:26","00:50:42","634","741"
Running,2021-09-29 05:56:52,false,"Athens Running","10.00","1,196","01:13:37","166","184","4.6","153","170","7:22","5:59","591","523","1.43","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:00.99","11","0.0","--","--","--","--","--","--","--","01:13:29","01:14:22","634","742"
Running,2021-09-28 17:52:02,false,"Athens Running","6.43","807","01:02:19","146","161","2.9","141","160","9:42","8:09","321","276","1.18","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","04:12.53","7","0.0","--","--","--","--","--","--","--","01:01:46","01:03:49","631","741"
