"","labs","rows"
"1","title","Athens Running"
"2","Distance","4.13 mi"
"3","Calories Burned","527 C"
"4","Calories Consumed","-- C"
"5","Calories Net","-527 C"
"6","Est. Sweat Loss","223 ml"
"7","Fluid Consumed","-- ml"
"8","Fluid Net","-223 ml"
"9","Aerobic","2.7 Maintaining"
"10","Anaerobic","0.4 No Benefit"
"11","Avg HR","149 bpm"
"12","Max HR","168 bpm"
"13","Time","37:12"
"14","Moving Time","37:10"
"15","Elapsed Time","37:22"
"16","Avg Speed","6.7 mph"
"17","Avg Moving Speed","6.7 mph"
"18","Max Speed","10.8 mph"
"19","Total Ascent","254.9 ft"
"20","Total Descent","206.1 ft"
"21","Min Elev","635.9 ft"
"22","Max Elev","741.5 ft"
"23","Avg Run Cadence","147 spm"
"24","Max Run Cadence","178 spm"
"25","Avg Stride Length","1.21 m"
"26","Moderate","1 min"
"27","Vigorous","36 min
x2"
"28","Total","73 min"
"29","title","Athens Running"
"30","Distance","5.00 mi"
"31","Calories Burned","630 C"
"32","Calories Consumed","-- C"
"33","Calories Net","-630 C"
"34","Est. Sweat Loss","255 ml"
"35","Fluid Consumed","-- ml"
"36","Fluid Net","-255 ml"
"37","Aerobic","3.1 Impacting"
"38","Anaerobic","0.0 No Benefit"
"39","Avg HR","154 bpm"
"40","Max HR","169 bpm"
"41","Time","42:38"
"42","Moving Time","42:31"
"43","Elapsed Time","44:01"
"44","Avg Speed","7.0 mph"
"45","Avg Moving Speed","7.1 mph"
"46","Max Speed","7.8 mph"
"47","Total Ascent","284.5 ft"
"48","Total Descent","255.4 ft"
"49","Min Elev","632.5 ft"
"50","Max Elev","741.5 ft"
"51","Avg Run Cadence","148 spm"
"52","Max Run Cadence","167 spm"
"53","Avg Stride Length","1.28 m"
"54","Moderate","0 min"
"55","Vigorous","41 min
x2"
"56","Total","82 min"
"57","title","Athens Running"
"58","Distance","6.11 mi"
"59","Calories Burned","789 C"
"60","Calories Consumed","-- C"
"61","Calories Net","-789 C"
"62","Est. Sweat Loss","346 ml"
"63","Fluid Consumed","-- ml"
"64","Fluid Net","-346 ml"
"65","Aerobic","3.0 Impacting"
"66","Anaerobic","0.5 No Benefit"
"67","Avg HR","151 bpm"
"68","Max HR","177 bpm"
"69","Time","57:49"
"70","Moving Time","57:47"
"71","Elapsed Time","57:55"
"72","Avg Speed","6.3 mph"
"73","Avg Moving Speed","6.3 mph"
"74","Max Speed","11.4 mph"
"75","Total Ascent","381.5 ft"
"76","Total Descent","340.7 ft"
"77","Min Elev","634.7 ft"
"78","Max Elev","741.5 ft"
"79","Avg Run Cadence","145 spm"
"80","Max Run Cadence","174 spm"
"81","Avg Stride Length","1.17 m"
"82","Moderate","1 min"
"83","Vigorous","56 min
x2"
"84","Total","113 min"
"85","title","Athens Running"
"86","Distance","8.01 mi"
"87","Calories Burned","940 C"
"88","Calories Consumed","-- C"
"89","Calories Net","-940 C"
"90","Est. Sweat Loss","323 ml"
"91","Fluid Consumed","-- ml"
"92","Fluid Net","-323 ml"
"93","Aerobic","4.4 Highly Impacting"
"94","Anaerobic","0.4 No Benefit"
"95","Avg HR","173 bpm"
"96","Max HR","186 bpm"
"97","Time","53:58"
"98","Moving Time","53:54"
"99","Elapsed Time","54:19"
"100","Avg Speed","8.9 mph"
"101","Avg Moving Speed","8.9 mph"
"102","Max Speed","10.5 mph"
"103","Total Ascent","473.1 ft"
"104","Total Descent","378.7 ft"
"105","Min Elev","632.8 ft"
"106","Max Elev","741.5 ft"
"107","Avg Run Cadence","162 spm"
"108","Max Run Cadence","178 spm"
"109","Avg Stride Length","1.47 m"
"110","Moderate","1 min"
"111","Vigorous","53 min
x2"
"112","Total","107 min"
"113","title","Athens Running"
"114","Distance","12.01 mi"
"115","Calories Burned","1,478 C"
"116","Calories Consumed","-- C"
"117","Calories Net","-1,478 C"
"118","Est. Sweat Loss","542 ml"
"119","Fluid Consumed","-- ml"
"120","Fluid Net","-542 ml"
"121","Aerobic","4.6 Highly Impacting"
"122","Anaerobic","0.6 No Benefit"
"123","Avg HR","168 bpm"
